"Keyword","Mot-clef"
"Add twitter search feed","Ajouter un flux Twitter d'une recherche"
"Add twitter user feed", "Ajouter un flux Twitter d'un utilisateur"
"Number of tweets","Nombre de tweets"
"Block title","Titre du bloc"
"Links color","Couleur des liens"
"Links color for @","Couleurs des liens @"
"Add CSS Classes","Ajouter des classes CSS"
"Choose your feed type","Choisir votre type de flux"
"Magentweet - Twitter user feed","Magentweet - Flux twitter d'un utilisateur"
"Twitter user name","Nom d'utilisateur Twitter"
"Magentweet - Twitter search feed","Magentweet - Flux twitter d'une recherche"
"Links","Liens"
"Followers","Abonnés"
"Following","Abonnements"
"Enable","Activé"
"Disable","Desactivé"
"User Header","En-tête Utilisateur"
"Language","Langue"
"Select your search language","Select your search language"
"All","All"